mkt_ccode,dep_airport,cancel_code,arr_airport,day_week_name,month__name,route,mkt_fl_no,date,dep_delay_time_actual,arr_delay_time_actual,mins_late_delay_code_e_carrier,mins_late_delay_code_f_weather,mins_late_delay_code_g_nas,mins_late_delay_code_h_security,mins_late_delay_code_i_late_arr_flight,delay
DL,CHS,0,BOS,Thu,Sep,CHS-BOS,5654,9/15/22,-1,-22,0,0,0,0,0,0
DL,ATL,0,PWM,Thu,Aug,ATL-PWM,1320,8/4/22,-6,-8,0,0,0,0,0,0
DL,JFK,0,LAX,Thu,Feb,JFK-LAX,439,2/17/22,36,11,0,0,0,0,0,1
DL,SLC,0,CNY,Sun,Jun,SLC-CNY,4233,6/26/22,-5,-6,0,0,0,0,0,0
DL,LAX,0,SAN,Wed,Mar,LAX-SAN,3790,3/2/22,4,-11,0,0,0,0,0,0
DL,AUS,0,JFK,Fri,Jun,AUS-JFK,1092,6/10/22,-2,-40,0,0,0,0,0,0
DL,PIT,0,ATL,Thu,May,PIT-ATL,1707,5/19/22,20,6,0,0,0,0,0,1
DL,IND,0,LGA,Tue,Aug,IND-LGA,5356,8/9/22,99,136,0,0,115,0,21,1
DL,MEM,0,MSP,Fri,Feb,MEM-MSP,3803,2/18/22,0,-5,0,0,0,0,0,0
DL,SEA,0,PDX,Tue,Aug,SEA-PDX,2630,8/2/22,-2,-9,0,0,0,0,0,0
DL,JFK,0,MSP,Sat,Jul,JFK-MSP,1353,7/16/22,-3,-3,0,0,0,0,0,0
DL,SLC,0,EUG,Fri,Sep,SLC-EUG,3520,9/9/22,-3,-6,0,0,0,0,0,0
DL,ATL,0,PHL,Mon,Aug,ATL-PHL,2354,8/1/22,-4,-23,0,0,0,0,0,0
DL,GEG,0,SLC,Sun,Apr,GEG-SLC,3834,4/17/22,-8,-17,0,0,0,0,0,0
DL,ATL,0,ANC,Sat,Apr,ATL-ANC,1409,4/9/22,5,3,0,0,0,0,0,1
DL,LGA,0,PIT,Sun,Jul,LGA-PIT,4892,7/31/22,-1,6,0,0,0,0,0,1
DL,LAS,0,SEA,Mon,May,LAS-SEA,2760,5/16/22,13,-1,0,0,0,0,0,0
DL,TPA,0,JFK,Sun,Jun,TPA-JFK,1180,6/5/22,-3,-28,0,0,0,0,0,0
DL,SLC,0,ATL,Tue,Mar,SLC-ATL,406,3/1/22,0,-13,0,0,0,0,0,0
DL,ATL,0,BOS,Sat,Mar,ATL-BOS,319,3/5/22,-1,-14,0,0,0,0,0,0
DL,CLT,0,LGA,Wed,Jun,CLT-LGA,5204,6/29/22,0,-20,0,0,0,0,0,0
DL,PWM,0,ATL,Sat,Aug,PWM-ATL,1320,8/13/22,4,0,0,0,0,0,0,0
DL,LAX,0,SEA,Fri,Sep,LAX-SEA,1393,9/30/22,28,20,0,0,0,0,20,1
DL,PNS,0,LGA,Sun,Apr,PNS-LGA,5638,4/17/22,-3,-4,0,0,0,0,0,0
DL,BDL,0,ATL,Thu,Mar,BDL-ATL,2135,3/10/22,-2,5,0,0,0,0,0,1
DL,JFK,0,JAX,Wed,Jan,JFK-JAX,5747,1/5/22,-6,-10,0,0,0,0,0,0
DL,SLC,0,DFW,Tue,May,SLC-DFW,2169,5/24/22,-10,126,0,0,0,0,0,1
DL,DTW,0,PWM,Fri,Aug,DTW-PWM,2508,8/12/22,-7,-15,0,0,0,0,0,0
DL,MEM,0,ATL,Sat,Apr,MEM-ATL,363,4/23/22,-3,-6,0,0,0,0,0,0
DL,SDF,0,ATL,Tue,Feb,SDF-ATL,2645,2/15/22,-8,12,0,0,0,0,0,1
DL,MCO,0,ATL,Mon,Jul,MCO-ATL,1546,7/25/22,37,34,0,25,0,0,9,1
DL,ATL,0,OAJ,Fri,Jan,ATL-OAJ,4958,1/14/22,-11,0,0,0,0,0,0,0
DL,LGA,0,TYS,Tue,Jul,LGA-TYS,4698,7/19/22,1,-22,0,0,0,0,0,0
DL,SJC,0,SLC,Sun,Jul,SJC-SLC,2144,7/31/22,-8,-13,0,0,0,0,0,0
DL,MYR,0,ATL,Thu,Feb,MYR-ATL,2304,2/10/22,-6,-18,0,0,0,0,0,0
DL,HSV,0,ATL,Fri,May,HSV-ATL,1553,5/13/22,143,130,0,0,0,0,130,1
DL,MIA,0,ATL,Fri,Feb,MIA-ATL,1381,2/11/22,-4,-19,0,0,0,0,0,0
